0,1,2
2022-01-14,harrysibi_,Belajar kok diancam ! Merdeka belajar atau belajar merdeka ? https://t.co/uBnOxIv9BJ
2022-01-14,SeknasJppi,"Dr.Supriadi, SE., MM,https://t.co/ELeQlldGQn, CHRA : Program Merdeka Belajar Kampus Merdeka (MBKM) Merupakan Program Persiapan Menghadapi Era Society 5.0 - Kongkrit https://t.co/dhBxaBpp4K https://t.co/4fURIHteTZ"
2022-01-14,jalur__98,"Halo adik2 mahasiswa Indonesia !!!

Apa kabar kalian semua ???

Lagi disibukkan Merdeka Belajar di Kampus Merdeka ya ???!! https://t.co/5KmBL2Ysam"
2022-01-14,officialusu_,"Halo #SobatUSU

Ada pengumuman nih buat kamu mahasiswa USU. Demi penyesuaian program Merdeka Belajar Kampus Merdeka serta persiapan Pembelajaran Tatap Muka (PTM), perkuliahan Semester Genap TA 2021/2022 diundur ke tanggal 7 Februari 2022 ya, sobat! https://t.co/Kt65tx5Ztb"
2022-01-14,SapuPatah,"@Kemdikbud_RI Merdeka belajar hanya slogan, tanggapannya gimana terkait indikasi kecurangan di formasi dosen cpns 2021? 

https://t.co/tV2C22RdFd"
2022-01-14,ypramudya,Bukankah sudah merdeka belajar? https://t.co/0OkFc5jNyc
2022-01-14,MisterP84210941,"@mkusumawijaya @jokowi Ini representasi pas utk jargon kampus merdeka, merdeka belajar 😂"
2022-01-14,Kemdikbud_RI,"#SahabatDikbud, yuk, tetap semangat dan jangan menyesali sesuatu yang sudah terjadi! Meskipun kita tidak bisa mengubah awal saat memulainya, tapi kita bisa memulai lagi dari di mana kita berada sekarang.

#MerdekaBelajar #JumatSemangat https://t.co/H1tQZNY3Gn"
2022-01-14,litbangdikbud,"#SahabatDikbud, saat ini informasi tentang kurikulum prototipe masih termuat dalam keputusan menteri tentang Program Sekolah Penggerak  dan Program SMK Pusat Keunggulan 

#MerdekaBelajar
#PemulihanPembelajaran
#RefleksiDiriUntukTransformasi
#SerentakBergerak
#TanyaJawabKurikulum https://t.co/OnU8J9uqJE"
2022-01-14,unpad,"#PengumumanUnpad

Unpad mengundang mahasiswa/i ITB untuk mengikuti program Merdeka Belajar Kampus Merdeka Unpad-ITB Semester Genap Tahun Akademik 2021/2022

Informasi selengkapnya, kunjungi https://t.co/m0PLTEXDhm

@itbofficial
@AkademikITB

#Unpad
#UniversitasPadjadjaran https://t.co/czSMDaozIi"
2022-01-14,idnspot_com,Sekolah di Jambi Harus Terapkan Merdeka Belajar https://t.co/VlKMgbxg8v #Terbaru #belajar #harus #Informasi
2022-01-14,antarajatimcom,"Universitas Muhammadiyah Surabaya mendapat penghargaan ""Anugerah Diktiristek 2021"" pada kategori kampus dengan mata kuliah yang diikuti terbanyak pada program pertukaran mahasiswa dalam negeri di program Merdeka Belajar Kampus Merdeka (MBKM). 

https://t.co/5qKjdTuuM0"
2022-01-14,itbofficial,"ITB Menerima 1093 Mahasiswa Program Pascasarjana dan Profesi TA 2021/2022 Semester II

Baca berita selengkapnya di laman https://t.co/PY8Y7uARrl 

#ITBnews #institutteknologibandung #worldclassuniversity #innovation #research #kampusmerdeka #merdekabelajar"
2022-01-14,polseknuha,"Launching Imunisasi Siswa ""Merdeka Belajar""
Wujud Herd Immunity

#PoldaSulselAjakVaksin https://t.co/vZOhQuDEoR"
2022-01-14,Polairsulsel16,"Launching Imunisasi Siswa ""Merdeka Belajar""
Wujud Herd Immunity

#PoldaSulselAjakVaksin https://t.co/idZk7xwZNi"
2022-01-14,polsekwajo01,"Launching Imunisasi Siswa ""Merdeka Belajar""
Wujud Herd Immunity

#PoldaSulselAjakVaksin https://t.co/RA2jeQzHQL"
2022-01-14,polsekbarombong,"Launching Imunisasi Siswa ""Merdeka Belajar""
Wujud Herd Immunity

#PoldaSulselAjakVaksin https://t.co/rTZyPhRxPn"
2022-01-14,litbangdikbud,"#SahabatDikbud, pasti banyak di antara kalian yang penasaran tentang kriteria bagi sekolah yang ingin menerapkan kurikulum prototipe.
 
#MerdekaBelajar
#PemulihanPembelajaran
#RefleksiDiriUntukTransformasi
#SerentakBergerak
#TanyaJawabKurikulum https://t.co/Kl3IfzxZig"
2022-01-14,GoposId,"Mahasiswa kampus merdeka belajar dari berbagai universitas di Indonesia yang melakukan kunjungan, diterima langsung oleh Sekertaris Daerah Provinsi Gorontalo, Darda Daraba di ruang Huyula Gubernuran Gorontalo, Kamis (13/1/2022).
#Kampusmerdeka https://t.co/4ykOvNvYtH"
2022-01-14,polsek_balocci,"Launching Imunisasi Siswa ""Merdeka Belajar""
Wujud Herd Immunity

#PoldaSulselAjakVaksin https://t.co/WywbgUdE64"
2022-01-14,polrespangkep1,"Launching Imunisasi Siswa ""Merdeka Belajar""
Wujud Herd Immunity

#PoldaSulselAjakVaksin https://t.co/sIHikbvTUn"
2022-01-14,ABDULRA22461438,"Launching Imunisasi Siswa ""Merdeka Belajar""
Wujud Herd Immunity

#PoldaSulselAjakVaksin https://t.co/MY0L8CbCXC"
2022-01-14,MediaUjung,"Launching Imunisasi Siswa ""Merdeka Belajar""
Wujud Herd Immunity

#PoldaSulselAjakVaksin https://t.co/k5rCN7DPJF"
